Mãvậttư,Tên Vật Tư,Model,Đơn vị KD,Ngành hàng,Nhóm hàng,Tồn đầu (inventory)
KGB47001500,Bàn cầu 1 khối KG6116,KG6116,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,47
KGB47001500,Bàn cầu 1 khối KG6116,KG6116,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,48
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,49
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,50
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,51
KGB47001700,Bàn cầu 2 khối KG6201P,KG6201P,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,52
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,53
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,54
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,55
KGB47001900,Bàn cầu 2 khối KG6211,KG6211,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,56
KGB47001900,Bàn cầu 2 khối KG6211,KG6211,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,57
KGB47002000,Bàn cầu 1 khối KG6110,KG6110,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,58
KGB47002000,Bàn cầu 1 khối KG6110,KG6110,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,59
KGB47002100,Bàn cầu 1 khối KG6130,KG6130,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,60
KGB47002200,Bàn cầu 1 khối KG6115,KG6115,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,61
KGB47002200,Bàn cầu 1 khối KG6115,KG6115,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,62
KGB47002300,Bàn cầu 1 khối KG6107P,KG6107P,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,63
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,64
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,65
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,66
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,67
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,68
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,69
KGB47002900,Bàn cầu 1 khối KG6120,KG6120,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,70
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,71
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,72
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,73
KGB48000100,Chậu chân dài KG6303P,KG6303P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,74
KGB48000100,Chậu chân dài KG6303P,KG6303P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,75
KGB48000100,Chậu chân dài KG6303P,KG6303P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,76
KGB48000200,Chậu chân dài KG6302P,KG6302P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,77
KGB48000200,Chậu chân dài KG6302P,KG6302P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,78
KGB48000200,Chậu chân dài KG6302P,KG6302P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,79
KGB48000200,Chậu chân dài KG6302P,KG6302P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,80
KGB48000201,Chậu chân dài KG6302P (thiếu chân),KGB48000201,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,81
KGB48000300,Chậu chân dài KG6300P,KG6300P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,82
KGB48000300,Chậu chân dài KG6300P,KG6300P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,83
KGB48000300,Chậu chân dài KG6300P,KG6300P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,84
KGB48000400,Chậu treo tường KG6300,KG6300,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,85
KGB48000400,Chậu treo tường KG6300,KG6300,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,86
KGB48000401,"Pedestal Basin ,White Color KG6305P",KG6305P,MYA,Ngành hàng vật liệu xây dựng,#N/A,87
KGB48000402,"Kangaroo Half -Peedestal Basin ,White Color Kg6305H",KG6305H,MYA,Ngành hàng vật liệu xây dựng,#N/A,88
KGB48000500,Chậu chân lửng KG6301H,KG6301H,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,89
KGB48000600,Chậu đặt âm bàn KG6002,KG6002,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,90
KGB48000600,Chậu đặt âm bàn KG6002,KG6002,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,91
KGB48000600,Chậu đặt âm bàn KG6002,KG6002,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,92
KGB48000700,Chậu đặt âm bàn KG6003,KG6003,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,93
KGB48000700,Chậu đặt âm bàn KG6003,KG6003,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,94
KGB48000700,Chậu đặt âm bàn KG6003,KG6003,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,95
KGB48000800,Chậu đặt dương vành KG6001,KG6001,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,96
KGB48000900,Chậu đặt bàn KG6000,KG6000,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,97
KGB48000900,Chậu đặt bàn KG6000,KG6000,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,98
KGB48000900,Chậu đặt bàn KG6000,KG6000,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,99
KGB48001100,Chậu chân lửng KG6304H,KG6304H,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,100
KGB48001101,Chậu chân lửng KG6304H (thiếu chân),KGB48001101,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,101
KGB48001200,Chậu treo tường KG6304,KG6304,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,102
KGB48001200,Chậu treo tường KG6304,KG6304,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,103
KGB48001300,Chậu treo tường không chân KG6302,KG6302,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,104
KGB48001300,Chậu treo tường không chân KG6302,KG6302,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,105
KGB48001300,Chậu treo tường không chân KG6302,KG6302,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,106
KGB48001400,Chậu treo tường KG6303,KG6303,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,107
KGB48001400,Chậu treo tường KG6303,KG6303,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,108
KGB48001500,Chậu chân dài Lavabo KG6305P,KG6305P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,109
KGB48001500,Chậu chân dài Lavabo KG6305P,KG6305P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,110
KGB48001500,Chậu chân dài Lavabo KG6305P,KG6305P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,111
KGB48001500,Chậu chân dài Lavabo KG6305P,KG6305P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,112
KGB48001600,Chậu chận lửng Lavabo KG6305H,KG6305H,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,113
KGB48001600,Chậu chận lửng Lavabo KG6305H,KG6305H,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,114
KGB48001700,Chậu treo tường Lavabo KG6305,KG6305,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,115
KGB48001700,Chậu treo tường Lavabo KG6305,KG6305,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,116
KGB48001800,Chậu chân lửng Lavabo liền khối KG6307H,KG6307H,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,117
KGB48001800,Chậu chân lửng Lavabo liền khối KG6307H,KG6307H,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,118
KGB48001800,Chậu chân lửng Lavabo liền khối KG6307H,KG6307H,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,119
KGB48001900,Chậu treo tường KG6306,KG6306,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,120
KGB48001900,Chậu treo tường KG6306,KG6306,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,121
KGB48001900,Chậu treo tường KG6306,KG6306,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,122
KGB48001900,Chậu treo tường KG6306,KG6306,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,123
KGB48002000,Chậu chân lửng KG6306H,KG6306H,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,124
KGB48002002,Chân chậu chân lửng KG6306H (chân chậu),KGB48002002,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,125
KGB48002100,Chậu chân dài KG6306P,KG6306P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,126
KGB48002100,Chậu chân dài KG6306P,KG6306P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,127
KGB48002100,Chậu chân dài KG6306P,KG6306P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,128
KGB48002101,Chậu chân dài KG6306P (thiếu chân),KGB48002101,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,129
KGB48002300,Chậu chân lửng KG6305HN,KG6305HN,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,130
KGB48002300,Chậu chân lửng KG6305HN,KG6305HN,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,131
